Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    56000     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
  0.00      0.00     0.00    24000     0.00     0.00  std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::operator[](unsigned long)
  0.00      0.00     0.00    16026     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      0.00     0.00    14020     0.00     0.00  std::allocator<float>::~allocator()
  0.00      0.00     0.00    14020     0.00     0.00  std::__new_allocator<float>::~__new_allocator()
  0.00      0.00     0.00    12014     0.00     0.00  std::allocator<float>::allocator(std::allocator<float> const&)
  0.00      0.00     0.00    12014     0.00     0.00  std::__new_allocator<float>::__new_allocator(std::__new_allocator<float> const&)
  0.00      0.00     0.00    12004     0.00     0.00  float&& std::forward<float>(std::remove_reference<float>::type&)
  0.00      0.00     0.00     8031     0.00     0.00  float* std::__niter_base<float*>(float*)
  0.00      0.00     0.00     8024     0.00     0.00  std::__new_allocator<float>::_M_max_size() const
  0.00      0.00     0.00     8019     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00      0.00     0.00     8010     0.00     0.00  std::initializer_list<float>::begin() const
  0.00      0.00     0.00     8010     0.00     0.00  float const* std::__miter_base<float const*>(float const*)
  0.00      0.00     0.00     8010     0.00     0.00  float const* std::__niter_base<float const*>(float const*)
  0.00      0.00     0.00     8008     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00      0.00     0.00     8007     0.00     0.00  float* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<float>(float const*, float const*, float*)
  0.00      0.00     0.00     8007     0.00     0.00  float* std::__niter_wrap<float*>(float* const&, float*)
  0.00      0.00     0.00     8007     0.00     0.00  float* std::__copy_move_a1<false, float const*, float*>(float const*, float const*, float*)
  0.00      0.00     0.00     8007     0.00     0.00  float* std::__copy_move_a2<false, float const*, float*>(float const*, float const*, float*)
  0.00      0.00     0.00     8006     0.00     0.00  void std::_Destroy_aux<true>::__destroy<float*>(float*, float*)
  0.00      0.00     0.00     8006     0.00     0.00  void std::_Destroy<float*>(float*, float*)
  0.00      0.00     0.00     8006     0.00     0.00  void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&)
  0.00      0.00     0.00     8004     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::__normal_iterator(float const* const&)
  0.00      0.00     0.00     8004     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::base() const
  0.00      0.00     0.00     8004     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > std::__miter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.00      0.00     0.00     8004     0.00     0.00  float const* std::__niter_base<float const*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.00      0.00     0.00     7002     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00     6012     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long)
  0.00      0.00     0.00     6011     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned long)
  0.00      0.00     0.00     6011     0.00     0.00  std::__new_allocator<float>::deallocate(float*, unsigned long)
  0.00      0.00     0.00     6011     0.00     0.00  std::__new_allocator<float>::allocate(unsigned long, void const*)
  0.00      0.00     0.00     6011     0.00     0.00  std::allocator_traits<std::allocator<float> >::deallocate(std::allocator<float>&, float*, unsigned long)
  0.00      0.00     0.00     6011     0.00     0.00  std::allocator_traits<std::allocator<float> >::allocate(std::allocator<float>&, unsigned long)
  0.00      0.00     0.00     6008     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     6008     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00     6008     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::~_Vector_base()
  0.00      0.00     0.00     6007     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::allocator<float> const&)
  0.00      0.00     0.00     6006     0.00     0.00  std::vector<float, std::allocator<float> >::~vector()
  0.00      0.00     0.00     4010     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00     4005     0.00     0.00  std::initializer_list<float>::end() const
  0.00      0.00     0.00     4005     0.00     0.00  std::initializer_list<float>::size() const
  0.00      0.00     0.00     4005     0.00     0.00  std::iterator_traits<float const*>::difference_type std::__distance<float const*>(float const*, float const*, std::random_access_iterator_tag)
  0.00      0.00     0.00     4005     0.00     0.00  float* std::__copy_move_a<false, float const*, float*>(float const*, float const*, float*)
  0.00      0.00     0.00     4005     0.00     0.00  std::iterator_traits<float const*>::iterator_category std::__iterator_category<float const*>(float const* const&)
  0.00      0.00     0.00     4005     0.00     0.00  float* std::copy<float const*, float*>(float const*, float const*, float*)
  0.00      0.00     0.00     4005     0.00     0.00  std::iterator_traits<float const*>::difference_type std::distance<float const*>(float const*, float const*)
  0.00      0.00     0.00     4004     0.00     0.00  std::vector<float, std::allocator<float> >::end()
  0.00      0.00     0.00     4004     0.00     0.00  std::vector<float, std::allocator<float> >* std::__addressof<std::vector<float, std::allocator<float> > >(std::vector<float, std::allocator<float> >&)
  0.00      0.00     0.00     4002     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<float>, float>::_S_select_on_copy(std::allocator<float> const&)
  0.00      0.00     0.00     4002     0.00     0.00  std::vector<float, std::allocator<float> >::end() const
  0.00      0.00     0.00     4002     0.00     0.00  std::vector<float, std::allocator<float> >::begin() const
  0.00      0.00     0.00     4002     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00     4002     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(unsigned long, std::allocator<float> const&)
  0.00      0.00     0.00     4002     0.00     0.00  std::allocator_traits<std::allocator<float> >::select_on_container_copy_construction(std::allocator<float> const&)
  0.00      0.00     0.00     4002     0.00     0.00  float* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      0.00     0.00     4002     0.00     0.00  std::vector<float, std::allocator<float> >::vector(std::vector<float, std::allocator<float> > const&)
  0.00      0.00     0.00     4002     0.00     0.00  float* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      0.00     0.00     4002     0.00     0.00  float* std::uninitialized_copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
