Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 40.98      2.81     2.81 3000220000     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
 32.38      5.03     2.22                             main
 26.40      6.84     1.81 1500810001     0.00     0.00  std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::operator[](unsigned long)
  0.07      6.85     0.01  1740049     0.00     0.00  float const& std::forward<float const&>(std::remove_reference<float const&>::type&)
  0.07      6.85     0.01   960000     0.00     0.00  bool __gnu_cxx::operator!=<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.07      6.86     0.01    90053     0.00     0.00  std::vector<float, std::allocator<float> >::end()
  0.07      6.86     0.01        1     5.00     5.00  void std::allocator_traits<std::allocator<std::vector<float, std::allocator<float> > > >::destroy<std::vector<float, std::allocator<float> > >(std::allocator<std::vector<float, std::allocator<float> > >&, std::vector<float, std::allocator<float> >*)
  0.00      6.86     0.00  1920212     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00      6.86     0.00   905003     0.00     0.00  operator new(unsigned long, void*)
  0.00      6.86     0.00   870000     0.00     0.00  void __gnu_cxx::new_allocator<float>::construct<float, float const&>(float*, float const&)
  0.00      6.86     0.00   870000     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator++()
  0.00      6.86     0.00   870000     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator*() const
  0.00      6.86     0.00   870000     0.00     0.00  void std::allocator_traits<std::allocator<float> >::construct<float, float const&>(std::allocator<float>&, float*, float const&)
  0.00      6.86     0.00   870000     0.00     0.00  std::vector<float, std::allocator<float> >::push_back(float const&)
  0.00      6.86     0.00   180106     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00      6.86     0.00    90053     0.00     0.00  std::vector<float, std::allocator<float> >::begin()
  0.00      6.86     0.00    80126     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      6.86     0.00    70022     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00      6.86     0.00    70022     0.00     0.00  std::allocator<float>::~allocator()
  0.00      6.86     0.00    60015     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator(__gnu_cxx::new_allocator<float> const&)
  0.00      6.86     0.00    60015     0.00     0.00  std::allocator<float>::allocator(std::allocator<float> const&)
  0.00      6.86     0.00    60004     0.00     0.00  float&& std::forward<float>(std::remove_reference<float>::type&)
  0.00      6.86     0.00    40325     0.00     0.00  float* std::__niter_base<float*>(float*)
  0.00      6.86     0.00    40216     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00      6.86     0.00    40171     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00      6.86     0.00    40010     0.00     0.00  std::initializer_list<float>::begin() const
  0.00      6.86     0.00    40010     0.00     0.00  float const* std::__miter_base<float const*>(float const*)
  0.00      6.86     0.00    40010     0.00     0.00  float const* std::__niter_base<float const*>(float const*)
  0.00      6.86     0.00    40008     0.00     0.00  void std::_Destroy_aux<true>::__destroy<float*>(float*, float*)
  0.00      6.86     0.00    40008     0.00     0.00  void std::_Destroy<float*>(float*, float*)
  0.00      6.86     0.00    40008     0.00     0.00  void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&)
  0.00      6.86     0.00    40007     0.00     0.00  float* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<float>(float const*, float const*, float*)
  0.00      6.86     0.00    40007     0.00     0.00  float* std::__niter_wrap<float*>(float* const&, float*)
  0.00      6.86     0.00    40007     0.00     0.00  float* std::__copy_move_a<false, float const*, float*>(float const*, float const*, float*)
  0.00      6.86     0.00    40004     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::__normal_iterator(float const* const&)
  0.00      6.86     0.00    40004     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::base() const
